City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,mogadishu,2.0371,45.3438,75.9,82,34,15.32,SO,1661713531
150,vao,-22.6667,167.4833,69.13,67,100,20.71,NC,1661713533
151,ayan,56.45,138.1667,52.93,82,100,3.67,RU,1661713535
152,yulara,-25.2406,130.9889,53.67,44,0,10.25,AU,1661713537
153,prince rupert,54.3161,-130.3201,57.81,94,100,6.85,CA,1661713509
154,borogontsy,62.6683,131.1683,52.03,75,100,6.44,RU,1661713542
155,epe,6.5841,3.9834,74.19,86,34,4.88,NG,1661713544
156,abu zabad,12.35,29.25,74.19,82,74,7.78,SD,1661713546
157,flinders,-34.5833,150.8552,59.38,80,6,6.29,AU,1661713549
158,nyurba,63.2842,118.3319,44.62,90,100,8.72,RU,1661713553
159,grand gaube,-20.0064,57.6608,71.38,80,15,3.0,MU,1661713555
160,dikson,73.5069,80.5464,39.78,96,100,16.53,RU,1661713558
161,hamilton,39.1834,-84.5333,94.24,53,40,10.36,US,1661713495
162,vila velha,-20.3297,-40.2925,78.75,78,40,18.41,BR,1661713562
163,tessalit,20.1986,1.0114,83.32,48,70,15.46,ML,1661713564
164,hofn,64.2539,-15.2082,51.93,77,100,2.59,IS,1661713567
165,sydney mines,46.2367,-60.2177,76.14,58,0,5.99,CA,1661713569
166,manizales,5.0689,-75.5174,63.03,84,87,0.85,CO,1661713512
167,betare oya,5.6,14.0833,66.74,97,100,4.05,CM,1661713574
168,sawakin,19.1059,37.3321,90.09,47,8,23.4,SD,1661713576
169,valdez,1.2492,-78.9831,78.75,77,100,11.05,EC,1661713578
170,bathsheba,13.2167,-59.5167,88.41,66,20,14.97,BB,1661713580
171,bambous virieux,-20.3428,57.7575,71.22,86,45,11.41,MU,1661713583
172,dentsville,34.064,-80.9582,92.43,56,0,6.91,US,1661713585
173,cervo,43.6702,-7.4101,70.97,86,22,3.02,ES,1661713587
174,inhapim,-19.5492,-42.12,82.63,31,91,4.52,BR,1661713590
175,lompoc,34.6391,-120.4579,76.69,82,100,8.05,US,1661713414
176,kampot,10.6167,104.1833,75.25,88,100,2.71,KH,1661713596
177,bauchi,10.5,10.0,67.64,96,100,2.24,NG,1661713598
178,namie,37.4833,141.0,57.72,87,6,2.71,JP,1661713601
179,mayo,38.8876,-76.5119,92.12,67,0,10.36,US,1661713476
180,zyryanka,65.75,150.85,54.28,74,100,9.89,RU,1661713605
181,miri,4.4148,114.0089,77.92,87,97,5.21,MY,1661713607
182,pacific grove,36.6177,-121.9166,69.35,79,75,8.05,US,1661713334
183,sola,-13.8833,167.55,79.34,78,19,18.54,VU,1661713612
184,yeppoon,-23.1333,150.7333,58.78,79,85,14.07,AU,1661713614
185,olga,43.7444,135.2892,56.05,72,100,5.26,RU,1661713616
186,kieta,-6.2167,155.6333,78.44,84,92,5.91,PG,1661713623
187,valley city,46.9233,-98.0032,73.92,83,100,5.75,US,1661713549
188,suzhou,31.3114,120.6181,73.98,80,25,7.31,CN,1661713627
189,sistranda,63.7256,8.834,51.76,78,60,9.4,NO,1661713630
190,berdigestyakh,62.0989,126.6992,44.04,90,8,6.06,RU,1661713632
191,vostok,46.4856,135.8833,46.94,96,100,5.35,RU,1661713636
192,hami,42.8,93.45,73.08,20,8,11.41,CN,1661713639
193,saskylakh,71.9167,114.0833,38.75,78,99,7.36,RU,1661713641
194,excelsior springs,39.3392,-94.2261,88.5,61,0,11.5,US,1661713643
195,santa maria del oro,25.9333,-105.3667,80.92,45,100,4.05,MX,1661713646
196,minab,27.1467,57.0801,88.68,47,0,1.77,IR,1661713648
197,uyskoye,54.3775,60.0047,65.68,59,61,5.23,RU,1661713650
198,thinadhoo,0.5333,72.9333,81.55,76,100,12.5,MV,1661713653
199,quetigny,47.3167,5.1167,78.46,50,0,6.91,FR,1661713655
200,polyanka,50.2584,27.6881,68.07,44,0,4.38,UA,1661713657
201,port macquarie,-31.4333,152.9167,53.49,100,100,0.0,AU,1661713660
202,muros,42.7762,-9.0603,62.82,89,65,2.93,ES,1661713662
203,victoria,22.2855,114.1577,86.05,86,100,8.01,HK,1661713472
204,kalmunai,7.4167,81.8167,81.18,77,91,4.54,LK,1661713666
205,santa fe,-31.6333,-60.7,61.0,24,0,8.01,AR,1661713399
206,provideniya,64.3833,-173.3,46.09,70,6,2.93,RU,1661713671
207,fortuna,40.5982,-124.1573,70.93,80,20,5.75,US,1661713673
